example_id                                                      | status | run_time        |
./spec/models/raw_datum_spec.rb[1:4:4]                          | passed | 0.07124 seconds |
./spec/models/raw_datum_spec.rb[1:4:5]                          | passed | 0.11675 seconds |
./spec/models/raw_datum_spec.rb[1:4:6]                          | passed | 0.05483 seconds |
./spec/models/raw_datum_spec.rb[1:4:7]                          | passed | 0.05003 seconds |
./spec/models/raw_datum_spec.rb[1:5:1]                          | passed | 0.08583 seconds |
./spec/models/raw_datum_spec.rb[1:5:2]                          | passed | 0.05601 seconds |
./spec/models/raw_datum_spec.rb[1:5:3]                          | passed | 0.05133 seconds |
./spec/models/raw_datum_spec.rb[1:6:1]                          | passed | 0.02394 seconds |
./spec/models/raw_datum_spec.rb[1:6:2]                          | passed | 0.04046 seconds |
./spec/models/raw_datum_spec.rb[1:6:3]                          | passed | 0.04678 seconds |
./spec/models/raw_datum_spec.rb[1:6:4]                          | passed | 0.03626 seconds |
./spec/models/raw_datum_spec.rb[1:6:5]                          | passed | 0.04083 seconds |
./spec/models/raw_datum_spec.rb[1:6:6]                          | passed | 0.05189 seconds |
./spec/models/raw_datum_spec.rb[1:7:1]                          | passed | 0.02836 seconds |
./spec/models/raw_datum_spec.rb[1:7:2]                          | passed | 0.02275 seconds |
./spec/models/service_spec.rb[1:1]                              | passed | 0.01507 seconds |
./spec/models/service_spec.rb[1:2:1]                            | passed | 0.0085 seconds  |
./spec/models/service_spec.rb[1:2:2]                            | passed | 0.00892 seconds |
./spec/models/service_spec.rb[1:2:3]                            | passed | 0.00846 seconds |
./spec/models/service_spec.rb[1:2:4]                            | passed | 0.00846 seconds |
./spec/models/service_spec.rb[1:2:5]                            | passed | 0.00923 seconds |
./spec/models/service_spec.rb[1:2:6]                            | passed | 0.00805 seconds |
./spec/models/service_spec.rb[1:2:7]                            | passed | 0.00831 seconds |
./spec/models/service_spec.rb[1:2:8]                            | passed | 0.00843 seconds |
./spec/models/service_spec.rb[1:2:9]                            | passed | 0.00798 seconds |
./spec/models/service_spec.rb[1:2:10]                           | passed | 0.0081 seconds  |
